feature_id	feature_name	feature_type	genesymbol_from_map	genesymbol_source	last_seen_name	last_seen_reference	target_class	human_gene_symbol	external_target_name	validation_assay	validation_feature	mapping_method	mapping_confidence	mapping_evidence	needs_llm_review	needs_manual_review	llm_model	llm_suggested_target_class	llm_suggested_gene_symbol	llm_suggested_validation_assay	llm_suggested_validation_feature	llm_confidence	llm_reason
mAOC0301	mAOC-CD16	Antibody Capture	FCGR3A/FCGR3B	reference:对应基因名	mAOC-CD16	抗体信息对照表260611-FY.xlsx	gene	FCGR3A		RNA	FCGR3A	llm:name_to_gene	0.86	CD16 maps to FCGR3A/FCGR3B in the reference map; select FCGR3A as the single RNA validation feature for this workflow.	FALSE	FALSE	codex_manual_review	gene	FCGR3A	RNA	FCGR3A	0.86	CD16 maps to FCGR3A/FCGR3B in the reference map; select FCGR3A as the single RNA validation feature for this workflow.
mAOC0303	mAOC-CD56	Antibody Capture	NCAM1	reference:对应基因名	mAOC-CD56	抗体信息对照表260611-FY.xlsx	gene	NCAM1		RNA	NCAM1	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0305	mAOC-CD8a	Antibody Capture	CD8A	reference:对应基因名	mAOC-CD8a	抗体信息对照表260611-FY.xlsx	gene	CD8A		RNA	CD8A	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0315	mAOC-CD3	Antibody Capture	CD3E	reference:对应基因名	mAOC-CD3	抗体信息对照表260611-FY.xlsx	gene	CD3E		RNA	CD3E	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0319	mAOC-CD79b	Antibody Capture	CD79B	reference:对应基因名	mAOC-CD79b	抗体信息对照表260611-FY.xlsx	gene	CD79B		RNA	CD79B	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0321	mAOC-CD57	Antibody Capture	B3GAT1	reference:对应基因名	mAOC-CD57	抗体信息对照表260611-FY.xlsx	gene	B3GAT1		RNA	B3GAT1	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0324	mAOC-CD49d	Antibody Capture	ITGA4	reference:对应基因名	mAOC-CD49d	抗体信息对照表260611-FY.xlsx	gene	ITGA4		RNA	ITGA4	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0326	mAOC-CD5	Antibody Capture	CD5	reference:对应基因名	mAOC-CD5	抗体信息对照表260611-FY.xlsx	gene	CD5		RNA	CD5	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0330	mAOC-CD49b	Antibody Capture	ITGA2	reference:对应基因名	mAOC-CD49b	抗体信息对照表260611-FY.xlsx	gene	ITGA2		RNA	ITGA2	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0331	mAOC-CD226	Antibody Capture	CD226	reference:对应基因名	mAOC-CD226	抗体信息对照表260611-FY.xlsx	gene	CD226		RNA	CD226	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0334	mAOC-CD96	Antibody Capture	CD96	reference:对应基因名	mAOC-CD96	抗体信息对照表260611-FY.xlsx	gene	CD96		RNA	CD96	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0336	mAOC-CD34	Antibody Capture	CD34	reference:对应基因名	mAOC-CD34	抗体信息对照表260611-FY.xlsx	gene	CD34		RNA	CD34	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0339	mAOC-CD133	Antibody Capture	PROM1	reference:对应基因名	mAOC-CD133	抗体信息对照表260611-FY.xlsx	gene	PROM1		RNA	PROM1	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0341	mAOC-HLA-DRA	Antibody Capture	HLA-DRA	reference:对应基因名	mAOC-HLA-DRA	抗体信息对照表260611-FY.xlsx	gene	HLA-DRA		RNA	HLA-DRA	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0440	mAOC-CD70	Antibody Capture	CD70	reference:对应基因名	mAOC-CD70	抗体信息对照表260611-FY.xlsx	gene	CD70		RNA	CD70	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0442	mAOC-CD105	Antibody Capture	ENG	reference:对应基因名	mAOC-CD105	抗体信息对照表260611-FY.xlsx	gene	ENG		RNA	ENG	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0444	mAOC-CD124	Antibody Capture	IL4R	reference:对应基因名	mAOC-CD124	抗体信息对照表260611-FY.xlsx	gene	IL4R		RNA	IL4R	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0448	mAOC-CD155	Antibody Capture	PVR	reference:对应基因名	mAOC-CD155	抗体信息对照表260611-FY.xlsx	gene	PVR		RNA	PVR	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0450	mAOC-CD40	Antibody Capture	CD40	reference:对应基因名	mAOC-CD40	抗体信息对照表260611-FY.xlsx	gene	CD40		RNA	CD40	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0451	mAOC-CD40	Antibody Capture	CD40	reference:对应基因名	mAOC-CD40	抗体信息对照表260611-FY.xlsx	gene	CD40		RNA	CD40	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0452	mAOC-CD154	Antibody Capture	CD40LG	reference:对应基因名	mAOC-CD154-1	抗体信息对照表260611-FY.xlsx	gene	CD40LG		RNA	CD40LG	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0453	mAOC-HLA-ABC	Antibody Capture	HLA-A/HLA-B/HLA-C	reference:对应基因名	mAOC-HLA-ABC	抗体信息对照表260611-FY.xlsx	gene	HLA-A		RNA	HLA-A	llm:name_to_gene	0.86	HLA-ABC maps to HLA-A/HLA-B/HLA-C in the reference map; select HLA-A as the single RNA validation feature for this workflow.	FALSE	FALSE	codex_manual_review	gene	HLA-A	RNA	HLA-A	0.86	HLA-ABC maps to HLA-A/HLA-B/HLA-C in the reference map; select HLA-A as the single RNA validation feature for this workflow.
mAOC0454	mAOC-CD123	Antibody Capture	IL3RA	reference:对应基因名	mAOC-CD123	抗体信息对照表260611-FY.xlsx	gene	IL3RA		RNA	IL3RA	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0455	mAOC-CD49f	Antibody Capture	ITGA6	reference:对应基因名	mAOC-CD49f	抗体信息对照表260611-FY.xlsx	gene	ITGA6		RNA	ITGA6	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0459	mAOC-CD183	Antibody Capture	CXCR3	reference:对应基因名	mAOC-CD183	抗体信息对照表260611-FY.xlsx	gene	CXCR3		RNA	CXCR3	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0460	mAOC-CD195	Antibody Capture	CCR5	reference:对应基因名	mAOC-CD195	抗体信息对照表260611-FY.xlsx	gene	CCR5		RNA	CCR5	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0461	mAOC-CD185	Antibody Capture	CXCR5	reference:对应基因名	mAOC-CD185	抗体信息对照表260611-FY.xlsx	gene	CXCR5		RNA	CXCR5	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0464	mAOC-CD141	Antibody Capture	THBD	reference:对应基因名	mAOC-CD141	抗体信息对照表260611-FY.xlsx	gene	THBD		RNA	THBD	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0465	mAOC-CD58	Antibody Capture	CD58	reference:对应基因名	mAOC-CD58	抗体信息对照表260611-FY.xlsx	gene	CD58		RNA	CD58	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0467	mAOC-CD24	Antibody Capture	CD24	reference:对应基因名	mAOC-CD24	抗体信息对照表260611-FY.xlsx	gene	CD24		RNA	CD24	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0470	mAOC-CD192	Antibody Capture	CCR2	reference:对应基因名	mAOC-CD192	抗体信息对照表260611-FY.xlsx	gene	CCR2		RNA	CCR2	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0472	mAOC-CD163	Antibody Capture	CD163	reference:对应基因名	mAOC-CD163	抗体信息对照表260611-FY.xlsx	gene	CD163		RNA	CD163	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0473	mAOC-CD163	Antibody Capture	CD163	reference:对应基因名	mAOC-CD163	抗体信息对照表260611-FY.xlsx	gene	CD163		RNA	CD163	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0474	mAOC-CD303	Antibody Capture	CLEC4C	reference:对应基因名	mAOC-CD303	抗体信息对照表260611-FY.xlsx	gene	CLEC4C		RNA	CLEC4C	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0476	mAOC-CD127	Antibody Capture	IL7R	reference:对应基因名	mAOC-CD127	抗体信息对照表260611-FY.xlsx	gene	IL7R		RNA	IL7R	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0478	mAOC-CD93	Antibody Capture	CD93	reference:对应基因名	mAOC-CD93	抗体信息对照表260611-FY.xlsx	gene	CD93		RNA	CD93	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0479	mAOC-CD23	Antibody Capture	FCER2	reference:对应基因名	mAOC-CD23	抗体信息对照表260611-FY.xlsx	gene	FCER2		RNA	FCER2	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0481	mAOC-CD71	Antibody Capture	TFRC	reference:对应基因名	mAOC-CD71	抗体信息对照表260611-FY.xlsx	gene	TFRC		RNA	TFRC	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0482	mAOC-CD7	Antibody Capture	CD7	reference:对应基因名	mAOC-CD7	抗体信息对照表260611-FY.xlsx	gene	CD7		RNA	CD7	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0485	mAOC-CD25	Antibody Capture	IL2RA	reference:对应基因名	mAOC-CD25	抗体信息对照表260611-FY.xlsx	gene	IL2RA		RNA	IL2RA	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0486	mAOC-CD2	Antibody Capture	CD2	reference:对应基因名	mAOC-CD2	抗体信息对照表260611-FY.xlsx	gene	CD2		RNA	CD2	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0488	mAOC-CD62L	Antibody Capture	SELL	reference:对应基因名	mAOC-CD62L	抗体信息对照表260611-FY.xlsx	gene	SELL		RNA	SELL	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0490	mAOC-CD158a	Antibody Capture	KIR2DL1	reference:对应基因名	mAOC-CD158a	抗体信息对照表260611-FY.xlsx	gene	KIR2DL1		RNA	KIR2DL1	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0492	mAOC-CD115	Antibody Capture	CSF1R	reference:对应基因名	mAOC-CD115	抗体信息对照表260611-FY.xlsx	gene	CSF1R		RNA	CSF1R	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0496	mAOC-CD272	Antibody Capture	BTLA	reference:对应基因名	mAOC-CD272	抗体信息对照表260611-FY.xlsx	gene	BTLA		RNA	BTLA	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0500	mAOC-CD16a	Antibody Capture	FCGR3A	reference:对应基因名	mAOC-CD16a	抗体信息对照表260611-FY.xlsx	gene	FCGR3A		RNA	FCGR3A	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0505	mAOC-CD35	Antibody Capture	CR1	reference:对应基因名	mAOC-CD35	抗体信息对照表260611-FY.xlsx	gene	CR1		RNA	CR1	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0506	mAOC-CD31	Antibody Capture	PECAM1	reference:对应基因名	mAOC-CD31	抗体信息对照表260611-FY.xlsx	gene	PECAM1		RNA	PECAM1	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0507	mAOC-CD11c	Antibody Capture	ITGAX	reference:对应基因名	mAOC-CD11c	抗体信息对照表260611-FY.xlsx	gene	ITGAX		RNA	ITGAX	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0508	mAOC-CD157	Antibody Capture	BST1	reference:对应基因名	mAOC-CD157	抗体信息对照表260611-FY.xlsx	gene	BST1		RNA	BST1	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0509	mAOC-CD277	Antibody Capture	BTN3A1	reference:对应基因名	mAOC-CD277	抗体信息对照表260611-FY.xlsx	gene	BTN3A1		RNA	BTN3A1	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0518-1	mAOC-ACVR2B	Antibody Capture					gene	ACVR2B		RNA	ACVR2B	llm:name_to_gene	0.96	Feature name directly names the human gene ACVR2B.	FALSE	FALSE	codex_manual_review	gene	ACVR2B	RNA	ACVR2B	0.96	Feature name directly names the human gene ACVR2B.
mAOC0519-1	mAOC-CD246	Antibody Capture					gene	ALK		RNA	ALK	llm:name_to_gene	0.90	CD246 is commonly used for ALK.	FALSE	FALSE	codex_manual_review	gene	ALK	RNA	ALK	0.90	CD246 is commonly used for ALK.
mAOC0520	mAOC-TNFA	Antibody Capture	TNF	reference:对应基因名	mAOC-TNFA	抗体信息对照表260611-FY.xlsx	gene	TNF		RNA	TNF	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0522-1	mAOC-CD350	Antibody Capture					gene	FZD10		RNA	FZD10	llm:name_to_gene	0.92	CD350 corresponds to FZD10.	FALSE	FALSE	codex_manual_review	gene	FZD10	RNA	FZD10	0.92	CD350 corresponds to FZD10.
mAOC0523-1	mAOC-GLP1R	Antibody Capture					gene	GLP1R		RNA	GLP1R	llm:name_to_gene	0.96	Feature name directly names GLP1R.	FALSE	FALSE	codex_manual_review	gene	GLP1R	RNA	GLP1R	0.96	Feature name directly names GLP1R.
mAOC0524	mAOC-GPC2	Antibody Capture	GPC2	reference:对应基因名	mAOC-GPC2	抗体信息对照表260611-FY.xlsx	gene	GPC2		RNA	GPC2	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0525	mAOC-HTR2B	Antibody Capture	HTR2B	reference:对应基因名	mAOC-HTR2B	抗体信息对照表260611-FY.xlsx	gene	HTR2B		RNA	HTR2B	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0526	mAOC-CD213a2	Antibody Capture	IL13RA2	reference:对应基因名	mAOC-CD213a2	抗体信息对照表260611-FY.xlsx	gene	IL13RA2		RNA	IL13RA2	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0527	mAOC-CD220	Antibody Capture	INSR	reference:对应基因名	mAOC-CD220	抗体信息对照表260611-FY.xlsx	gene	INSR		RNA	INSR	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0528	mAOC-Galectin-3	Antibody Capture	LGALS3	reference:对应基因名	mAOC-LGALS3	抗体信息对照表260611-FY.xlsx	gene	LGALS3		RNA	LGALS3	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0529	mAOC-CD257	Antibody Capture	TNFSF13B	reference:对应基因名	mAOC-CD257	抗体信息对照表260611-FY.xlsx	gene	TNFSF13B		RNA	TNFSF13B	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0530	mAOC-CD279	Antibody Capture	PDCD1	reference:对应基因名	mAOC-CD279	抗体信息对照表260611-FY.xlsx	gene	PDCD1		RNA	PDCD1	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0531	mAOC-TNFSF12	Antibody Capture	TNFSF12	reference:对应基因名	mAOC-TNFSF12	抗体信息对照表260611-FY.xlsx	gene	TNFSF12		RNA	TNFSF12	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0532	mAOC-CD314	Antibody Capture	KLRK1	reference:对应基因名	mAOC-CD314	抗体信息对照表260611-FY.xlsx	gene	KLRK1		RNA	KLRK1	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0533	mAOC-CD274	Antibody Capture	CD274	reference:对应基因名	mAOC-CD274	抗体信息对照表260611-FY.xlsx	gene	CD274		RNA	CD274	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0534	mAOC-CD64	Antibody Capture	FCGR1A	reference:对应基因名	mAOC-CD64	抗体信息对照表260611-FY.xlsx	gene	FCGR1A		RNA	FCGR1A	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0540	mAOC-CD117	Antibody Capture	KIT	reference:对应基因名	mAOC-CD117	抗体信息对照表260611-FY.xlsx	gene	KIT		RNA	KIT	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0541	mAOC-KLB	Antibody Capture	KLB	reference:对应基因名	mAOC-KLB	抗体信息对照表260611-FY.xlsx	gene	KLB		RNA	KLB	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0542	mAOC-CD107a	Antibody Capture	LAMP1	reference:对应基因名	mAOC-CD107a	抗体信息对照表260611-FY.xlsx	gene	LAMP1		RNA	LAMP1	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0543	mAOC-GARP	Antibody Capture	LRRC32	reference:对应基因名	mAOC-GARP	抗体信息对照表260611-FY.xlsx	gene	LRRC32		RNA	LRRC32	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0544	mAOC-MICA	Antibody Capture	MICA	reference:对应基因名	mAOC-MICA	抗体信息对照表260611-FY.xlsx	gene	MICA		RNA	MICA	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0545	mAOC-CD335	Antibody Capture	NCR1	reference:对应基因名	mAOC-CD335	抗体信息对照表260611-FY.xlsx	gene	NCR1		RNA	NCR1	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0548	mAOC-SLC40A1	Antibody Capture	SLC40A1	reference:对应基因名	mAOC-SLC40A1	抗体信息对照表260611-FY.xlsx	gene	SLC40A1		RNA	SLC40A1	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0549	mAOC-CD366	Antibody Capture	HAVCR2	reference:对应基因名	mAOC-CD366	抗体信息对照表260611-FY.xlsx	gene	HAVCR2		RNA	HAVCR2	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
mAOC0550	mAOC-CD262	Antibody Capture	TNFRSF10B	reference:对应基因名	mAOC-CD262	抗体信息对照表260611-FY.xlsx	gene	TNFRSF10B		RNA	TNFRSF10B	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE							
